"ID";"CPA2008";"Perioden";"Prijsindex_1";"Kwartaalmutaties_2";"Jaarmutaties_3"
"345";"A023765";"2005KW03";"    87.2";"     0.3";"     3.5"
"346";"A023765";"2005KW04";"    87.5";"     0.3";"     2.8"
"347";"A023765";"2005JJ00";"    87.1";"";"     3.3"
"348";"A023765";"2006KW01";"    88.8";"     1.5";"     2.6"
"349";"A023765";"2006KW02";"    89.0";"     0.2";"     2.3"
"350";"A023765";"2006KW03";"    89.3";"     0.4";"     2.4"
"351";"A023765";"2006KW04";"    89.2";"    -0.2";"     1.9"
"352";"A023765";"2006JJ00";"    89.1";"";"     2.3"
"353";"A023765";"2007KW01";"    90.4";"     1.4";"     1.8"
"354";"A023765";"2007KW02";"    91.0";"     0.7";"     2.3"
"355";"A023765";"2007KW03";"    91.2";"     0.2";"     2.1"
"356";"A023765";"2007KW04";"    91.7";"     0.5";"     2.8"
"357";"A023765";"2007JJ00";"    91.1";"";"     2.3"
"358";"A023765";"2008KW01";"    94.1";"     2.6";"     4.0"
"359";"A023765";"2008KW02";"    94.9";"     0.9";"     4.3"
"360";"A023765";"2008KW03";"    96.3";"     1.4";"     5.6"
"361";"A023765";"2008KW04";"    95.5";"    -0.9";"     4.1"
"362";"A023765";"2008JJ00";"    95.2";"";"     4.5"
"363";"A023765";"2009KW01";"    94.8";"    -0.7";"     0.8"
"364";"A023765";"2009KW02";"    94.2";"    -0.6";"    -0.7"
"365";"A023765";"2009KW03";"    93.7";"    -0.6";"    -2.7"
"366";"A023765";"2009KW04";"    93.9";"     0.2";"    -1.6"
"367";"A023765";"2009JJ00";"    94.2";"";"    -1.1"
"368";"A023765";"2010KW01";"    94.1";"     0.2";"    -0.8"
"369";"A023765";"2010KW02";"    94.2";"     0.2";"     0.0"
"370";"A023765";"2010KW03";"    94.1";"    -0.2";"     0.4"
"371";"A023765";"2010KW04";"    94.3";"     0.2";"     0.4"
"372";"A023765";"2010JJ00";"    94.2";"";"     0.0"
"373";"A023765";"2011KW01";"    96.4";"     2.2";"     2.4"
"374";"A023765";"2011KW02";"    98.0";"     1.7";"     4.0"
"375";"A023765";"2011KW03";"    97.8";"    -0.2";"     4.0"
"376";"A023765";"2011KW04";"    98.1";"     0.3";"     4.0"
"377";"A023765";"2011JJ00";"    97.6";"";"     3.6"
"378";"A023765";"2012KW01";"    99.0";"     0.9";"     2.7"
"379";"A023765";"2012KW02";"    99.5";"     0.5";"     1.6"
"380";"A023765";"2012KW03";"    99.5";"     0.0";"     1.8"
"381";"A023765";"2012KW04";"    99.9";"     0.4";"     1.8"
"382";"A023765";"2012JJ00";"    99.5";"";"     2.0"
"383";"A023765";"2013KW01";"   100.5";"     0.6";"     1.5"
"384";"A023765";"2013KW02";"   100.2";"    -0.3";"     0.7"
"385";"A023765";"2013KW03";"   100.1";"    -0.2";"     0.6"
"386";"A023765";"2013KW04";"   100.1";"     0.0";"     0.2"
"387";"A023765";"2013JJ00";"   100.2";"";"     0.8"
"388";"A023765";"2014KW01";"   100.5";"     0.4";"     0.0"
"389";"A023765";"2014KW02";"   100.5";"     0.0";"     0.2"
"390";"A023765";"2014KW03";"   100.6";"     0.1";"     0.5"
